Title,Artist,Rank,Peak Position,Last Position,Weeks
"Face My Fears","Hikaru Utada & Skrillex",98,98,0,1
"Call The Coroner","Future",100,100,0,1
"She Got The Best Of Me","Luke Combs",38,31,32,23
"Fine China","Future & Juice WRLD",83,26,72,13
"Nuketown","Ski Mask The Slump God Featuring Juice WRLD",84,63,86,6
"Space Cadet","Metro Boomin Featuring Gunna",88,51,83,6
"Butterfly Doors","Lil Pump",89,81,81,2
"Valuable Pain","YoungBoy Never Broke Again",90,87,87,2
"Can't Leave Without It","21 Savage",93,58,70,4
"Good Form","Nicki Minaj Featuring Lil Wayne",94,60,94,6
"idontwannabeyouanymore","Billie Eilish",96,96,98,3
"Last Shot","Kip Moore",60,53,53,8
"Smile (Living My Best Life)","Lil' Duval Featuring Snoop Dogg & Ball Greezy",78,56,67,19
"Lost In Japan","Shawn Mendes X Zedd",84,48,71,16
"Monster","21 Savage",90,73,78,3
"Demons And Angels","A Boogie Wit da Hoodie Featuring Juice WRLD",95,90,90,3
"KIKA","6ix9ine Featuring Tory Lanez",96,44,84,6
"Dip","Tyga & Nicki Minaj",99,63,88,8
"Lucky You","Eminem Featuring Joyner Lucas",100,6,94,14
"Drunk Me","Mitchell Tenpenny",39,39,64,21
"Dangerous","Meek Mill Featuring Jeremih & PnB Rock",46,31,62,20
"Solo de Mi","Bad Bunny",93,93,0,1
"whoa (mind in awe)","XXXTENTACION",96,37,0,3
"All My Friends","21 Savage",97,67,67,2
"All I Want For Christmas Is You","Mariah Carey",3,3,7,30
"Jingle Bell Rock","Bobby Helms",8,8,13,25
"Rockin' Around The Christmas Tree","Brenda Lee",9,9,11,27
"A Holly Jolly Christmas","Burl Ives",10,10,12,10
"The Christmas Song (Merry Christmas To You)","Nat King Cole",11,11,17,17
"It's The Most Wonderful Time Of The Year","Andy Williams",13,10,10,10
"Rudolph The Red-Nosed Reindeer","Gene Autry",16,16,28,4
"Let It Snow, Let It Snow, Let It Snow","Dean Martin",20,20,32,4
"Last Christmas","Wham!",25,25,27,9
"Sleigh Ride","The Ronettes",26,26,33,3
"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry",28,28,35,3
"Feliz Navidad","Jose Feliciano",29,29,34,5
"(There's No Place Like) Home For The Holidays","Perry Como",32,32,41,2
"White Christmas","Bing Crosby",34,12,48,15
"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra",35,35,42,2
"Blue Christmas","Elvis Presley",40,40,0,1
"Happy Xmas (War Is Over)","John & Yoko/The Plastic Ono Band With The Harlem Community Choir",42,42,45,2
"Christmas (Baby Please Come Home)","Darlene Love",43,43,50,2
"Underneath The Tree","Kelly Clarkson",44,44,0,4
"Run Rudolph Run","Chuck Berry",45,45,0,4
"Jingle Bells","Frank Sinatra",49,49,0,1
"Cozy Little Christmas","Katy Perry",53,53,68,2
"The Christmas Song","Lauren Daigle",55,55,90,2
"Break Da Law","21 Savage",70,70,0,1
"1.5","21 Savage",86,86,0,1
"Out For The Night","21 Savage",88,88,0,1
"Gun Smoke","21 Savage",93,93,0,1
"ASMR","21 Savage",95,95,0,1
"Wonderful Christmastime","Paul McCartney",47,47,0,1
"MoshPit","Kodak Black Featuring Juice WRLD",58,58,0,1
"Testimony","Kodak Black",74,74,0,1
"Gnarly","Kodak Black Featuring Lil Pump",88,88,0,1
"Uptown Vibes","Meek Mill Featuring Fabolous & Anuel AA",98,39,79,3
"MAMA","6ix9ine Featuring Nicki Minaj & Kanye West",100,43,75,4
"Broken","lovelytheband",45,29,45,22
"Taste","Tyga Featuring Offset",46,8,47,29
"Guardian Angel","XXXTENTACION",48,48,0,1
"God Is A Woman","Ariana Grande",50,8,48,22
"I Don't Let Go","XXXTENTACION",51,51,0,1
"What's Free","Meek Mill Featuring Rick Ross & JAY-Z",61,20,20,2
"One Minute","XXXTENTACION Featuring Kanye West & Travis Barker",62,62,0,1
"Train Food","XXXTENTACION",64,64,0,1
"What Are You So Afraid Of","XXXTENTACION",65,65,0,1
"Staring At The Sky","XXXTENTACION",68,68,0,1
"Lie","NF",70,48,65,20
"WAKA","6ix9ine Featuring A Boogie Wit da Hoodie",78,51,51,3
"On Me","Meek Mill Featuring Cardi B",82,30,30,2
"Difference (Interlude)","XXXTENTACION",84,84,0,1
"TIC TOC","6ix9ine Featuring Lil Baby",91,53,53,3
"That's On Me","Yella Beezy",92,56,80,20
"FEFE","6ix9ine Featuring Nicki Minaj & Murda Beatz",52,3,36,20
"Intro","Meek Mill",55,55,0,1
"Respect The Game","Meek Mill",57,57,0,1
"Ring","Cardi B Featuring Kehlani",58,28,47,20
"Trauma","Meek Mill",61,61,0,1
"Time","Lil Baby Featuring Meek Mill",62,62,0,1
"Ready","Lil Baby Featuring Gunna",66,66,0,1
"Championships","Meek Mill",70,70,0,1
"Tic Tac Toe","Meek Mill Featuring Kodak Black",72,72,0,1
"Almost Slipped","Meek Mill",73,73,0,1
"Splash Warning","Meek Mill Featuring Future, Roddy Ricch & Young Thug",77,77,0,1
"Pay You Back","Meek Mill Featuring 21 Savage",78,78,0,1
"Foot Fungus","Ski Mask The Slump God",81,81,0,1
"Crush A Lot","Lil Baby",82,82,0,1
"Oodles O' Noodles Babies","Meek Mill",85,85,0,1
"STOOPID","6ix9ine Featuring Bobby Shmurda",89,25,61,9
"Global","Lil Baby",91,91,0,1
"Word On The Street","Lil Baby",98,98,0,1
"In My Feelings","Drake",37,1,25,22
"Lose It","Kane Brown",41,28,40,20
"Yes Indeed","Lil Baby & Drake",44,6,31,29
"Nonstop","Drake",46,2,32,22
"Boo'd Up","Ella Mai",50,5,42,35
"Topanga","Trippie Redd",66,52,61,5
"Come Out And Play","Billie Eilish",69,69,0,1
"10 Freaky Girls","Metro Boomin Featuring 21 Savage",70,42,63,4
"1400 / 999 Freestyle","Trippie Redd Featuring Juice WRLD",72,55,68,3
"I'm A Mess","Bebe Rexha",78,35,59,20
"Hangin' On","Chris Young",79,63,67,13
"Never Recover","Lil Baby & Gunna Featuring Drake",85,15,70,8
"BEBE","6ix9ine Featuring Anuel AA",86,30,0,5
"Rich","Maren Morris",87,62,62,8
"Best Part","Daniel Caesar Featuring H.E.R.",93,75,83,19
"Don't Come Out The House","Metro Boomin Featuring 21 Savage",95,38,78,4
"I Love It","Kanye West & Lil Pump",97,6,75,12
"Falling Down","Lil Peep & XXXTENTACION",98,13,84,11
"Noticed","Lil Mosey",99,80,93,10
"I Like Me Better","Lauv",44,27,41,41
"Psycho","Post Malone Featuring Ty Dolla $ign",45,1,48,39
"Sad!","XXXTENTACION",46,1,45,38
"Bohemian Rhapsody","Queen",50,2,40,44
"Take One","Kodak Black",81,81,0,1
"W O R K I N  M E","Quavo",86,52,82,15
"Mona Lisa","Lil Wayne Featuring Kendrick Lamar",91,2,87,8
"Desperate Man","Eric Church",95,68,94,15
"Burn The House Down","AJR",100,100,0,1
"Big Bank","YG Featuring 2 Chainz, Big Sean & Nicki Minaj",49,16,44,24
"Love Scars 3","Trippie Redd",73,73,0,1
"Negative Energy","Trippie Redd Featuring Kodie Shane",89,89,0,1
"Toxic Waste","Trippie Redd",98,98,0,1
"Drew Barrymore","Bryce Vine",99,46,76,14
"Jackie Chan","Tiesto & Dzeko Featuring Preme & Post Malone",100,52,87,19
"Thank U, Next","Ariana Grande",1,1,1,2
"Sicko Mode","Travis Scott",2,2,3,15
"Happier","Marshmello & Bastille",3,3,4,13
"Without Me","Halsey",4,4,6,6
"Girls Like You","Maroon 5 Featuring Cardi B",5,1,2,25
"Lucid Dreams","Juice WRLD",6,2,5,27
"Mo Bamba","Sheck Wes",7,7,9,12
"High Hopes","Panic! At The Disco",8,8,12,15
"ZEZE","Kodak Black Featuring Travis Scott & Offset",9,2,8,5
"Drip Too Hard","Lil Baby & Gunna",10,4,10,9
"Better Now","Post Malone",11,3,7,29
"Youngblood","5 Seconds Of Summer",12,7,11,24
"Natural","Imagine Dragons",13,13,15,17
"Breathin","Ariana Grande",14,14,21,13
"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",15,11,16,7
"BAD!","XXXTENTACION",16,16,0,1
"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black",17,14,14,9
"Trip","Ella Mai",18,11,17,15
"MIA","Bad Bunny Featuring Drake",19,5,19,5
"Love Lies","Khalid & Normani",20,9,13,39
"Eastside","benny blanco, Halsey & Khalid",21,18,18,18
"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee",22,9,23,4
"God Is A Woman","Ariana Grande",23,8,20,18
"Shallow","Lady Gaga & Bradley Cooper",24,5,22,7
"Money","Cardi B",25,13,24,4
"I Like It","Cardi B, Bad Bunny & J Balvin",26,1,25,32
"Taste","Tyga Featuring Offset",27,8,26,25
"Lose It","Kane Brown",28,28,53,18
"In My Feelings","Drake",29,1,27,20
"Yes Indeed","Lil Baby & Drake",30,6,30,27
"Broken","lovelytheband",31,29,29,18
"Beautiful","Bazzi Featuring Camila Cabello",32,31,32,15
"Nonstop","Drake",33,2,28,20
"Uproar","Lil Wayne",34,7,34,7
"She Got The Best Of Me","Luke Combs",35,35,39,14
"Tequila","Dan + Shay",36,21,43,36
"Leave Me Alone","Flipp Dinero",37,37,41,9
"Speechless","Dan + Shay",38,38,45,10
"Ring","Cardi B Featuring Kehlani",39,28,36,17
"Bohemian Rhapsody","Queen",40,2,33,43
"I Like Me Better","Lauv",41,27,37,40
"FEFE","6ix9ine Featuring Nicki Minaj & Murda Beatz",42,3,31,17
"Boo'd Up","Ella Mai",43,5,40,33
"Armed And Dangerous","Juice WRLD",44,44,0,1
"Sad!","XXXTENTACION",45,1,46,37
"Best Shot","Jimmie Allen",46,46,50,9
"I'm A Mess","Bebe Rexha",47,35,35,18
"Psycho","Post Malone Featuring Ty Dolla $ign",48,1,48,38
"Big Bank","YG Featuring 2 Chainz, Big Sean & Nicki Minaj",49,16,44,24
"Lie","NF",50,50,54,16
"Better","Khalid",51,34,55,9
"Topanga","Trippie Redd",52,52,90,3
"Lost In Japan","Shawn Mendes X Zedd",53,48,52,8
"Drunk Me","Mitchell Tenpenny",54,54,58,14
"1400 / 999 Freestyle","Trippie Redd Featuring Juice WRLD",55,55,0,1
"10 Freaky Girls","Metro Boomin Featuring 21 Savage",56,42,42,2
"Dangerous","Meek Mill Featuring Jeremih & PnB Rock",57,57,66,13
"Close Friends","Lil Baby",58,28,59,6
"When The Party's Over","Billie Eilish",59,58,67,4
"Arms Around You","XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee",60,28,56,3
"That's On Me","Yella Beezy",61,57,57,16
"Smile (Living My Best Life)","Lil' Duval Featuring Snoop Dogg & Ball Greezy",62,56,61,12
"Don't Come Out The House","Metro Boomin Featuring 21 Savage",63,38,38,2
"You Say","Lauren Daigle",64,44,70,18
"Fine China","Future & Juice WRLD",65,26,64,4
"Space Cadet","Metro Boomin Featuring Gunna",66,51,51,2
"Hangin' On","Chris Young",67,63,65,11
"Rich","Maren Morris",68,68,71,6
"No Stylist","French Montana Featuring Drake",69,47,73,8
"Never Recover","Lil Baby & Gunna Featuring Drake",70,15,69,6
"I Love It","Kanye West & Lil Pump",71,6,60,10
"Falling Down","Lil Peep & XXXTENTACION",72,13,78,9
"Love Scars 3","Trippie Redd",73,73,0,1
"Backin' It Up","Pardison Fontaine Featuring Cardi B",74,74,77,5
"Burning Man","Dierks Bentley Featuring Brothers Osborne",75,75,92,4
"Blue Tacoma","Russell Dickerson",76,52,74,13
"This Feeling","The Chainsmokers Featuring Kelsea Ballerini",77,74,95,5
"Dip","Tyga & Nicki Minaj",78,63,63,3
"Bad Liar","Imagine Dragons",79,79,0,1
"Talk To Me","Tory Lanez & Rich The Kid",80,76,83,3
"Be Alright","Dean Lewis",81,81,89,3
"W O R K I N  M E","Quavo",82,52,75,14
"Consequences","Camila Cabello",83,83,97,2
"Best Part","Daniel Caesar Featuring H.E.R.",84,75,84,17
"Always Remember Us This Way","Lady Gaga",85,41,81,6
"Ella Quiere Beber","Anuel AA & Romeo Santos",86,86,86,2
"Mona Lisa","Lil Wayne Featuring Kendrick Lamar",87,2,82,7
"STOOPID","6ix9ine Featuring Bobby Shmurda",88,25,80,6
"Negative Energy","Trippie Redd Featuring Kodie Shane",89,89,0,1
"Noticed","Lil Mosey",90,80,91,8
"Sixteen","Thomas Rhett",91,91,0,1
"Lucky You","Eminem Featuring Joyner Lucas",92,6,93,11
"Good Girl","Dustin Lynch",93,93,0,1
"Desperate Man","Eric Church",94,68,0,14
"Last Shot","Kip Moore",95,95,0,1
"Millionaire","Chris Stapleton",96,96,0,1
"I'll Never Love Again","Lady Gaga",97,36,85,6
"Toxic Waste","Trippie Redd",98,98,0,1
"Drew Barrymore","Bryce Vine",99,46,76,14
"Jackie Chan","Tiesto & Dzeko Featuring Preme & Post Malone",100,52,87,19
"Back To You","Selena Gomez",47,18,35,26
"Delicate","Taylor Swift",49,12,43,35
"Overdue","Metro Boomin Featuring Travis Scott",62,62,0,1
"Last Memory","TakeOff",68,54,54,2
"Dreamcatcher","Metro Boomin Featuring Swae Lee & Travis Scott",72,72,0,1
"No More","Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",79,79,0,1
"Promises","Calvin Harris & Sam Smith",88,65,86,12
"No Brainer","DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",94,5,78,15
"Hotel Key","Old Dominion",96,48,87,19
"Killshot","Eminem",98,3,88,8
"Casper","TakeOff",99,99,0,1
"Up To Something","Metro Boomin Featuring Travis Scott & Young Thug",100,100,0,1
"Thriller","Michael Jackson",31,4,0,18
"The Middle","Zedd, Maren Morris & Grey",46,5,47,40
"Drunk Girl","Chris Janson",79,79,87,10
"Waste It On Me","Steve Aoki Featuring BTS",89,89,0,1
"A Million Dreams","P!nk",90,90,0,1
"Venom","Eminem",92,43,74,5
"New Patek","Lil Uzi Vert",93,24,90,7
"Break Up In The End","Cole Swindell",95,49,76,17
"Kamikaze","Lil Mosey",97,97,0,1
"Electricity","Silk City x Dua Lipa",99,96,97,4
"Drowns The Whiskey","Jason Aldean Featuring Miranda Lambert",100,32,99,19
"No Tears Left To Cry","Ariana Grande",50,3,49,27
"Jet Lag","Future & Juice WRLD Featuring Young Scooter",72,72,0,1
"Astronauts","Future & Juice WRLD",82,82,0,1
"Saturday Nights","Khalid & Kane Brown",83,83,0,1
"Suncity","Khalid Featuring Empress Of",88,88,0,1
"Vertigo","Khalid",89,89,0,1
"Yacht Club","Lil Yachty Featuring Juice WRLD",91,91,0,1
"Make It Back","Juice WRLD",92,92,0,1
"Kiss And Make Up","Dua Lipa & BLACKPINK",93,93,0,1
"Africa","Weezer",96,51,84,15
"Get Dripped","Lil Yachty Featuring Playboi Carti",98,98,0,1
"Meant To Be","Bebe Rexha & Florida Georgia Line",31,2,34,52
"Flip The Switch","Quavo Featuring Drake",48,48,0,1
"Simple","Florida Georgia Line",60,32,48,20
"Pass Out","Quavo Featuring 21 Savage",61,61,0,1
"Medicine","Queen Naija",83,45,86,20
"Biggest Alley Oop","Quavo",86,86,0,1
"Rerun","Quavo Featuring Travis Scott",88,88,0,1
"Don't Cry","Lil Wayne Featuring XXXTENTACION",91,5,60,3
"Huncho Dreams","Quavo",93,93,0,1
"Chanel (Go Get It)","Young Thug Featuring Gunna & Lil Baby",94,78,0,4
"Thunderclouds","Labrinth, Sia & Diplo Present... LSD",95,67,0,5
"Sunrise, Sunburn, Sunset","Luke Bryan",96,35,99,16
"If I'm Lyin, I'm Flyin","Kodak Black",99,56,74,3
"Lose It","Quavo Featuring Lil Baby",100,100,0,1
"Off White VLONE","Lil Baby & Gunna Featuring Lil Durk & NAV",54,54,0,1
"Business Is Business","Lil Baby & Gunna",61,61,0,1
"Is That Alright?","Lady Gaga",63,63,0,1
"Let It Fly","Lil Wayne Featuring Travis Scott",67,10,10,2
"Dedicate","Lil Wayne",78,14,14,2
"Jumpsuit","twenty one pilots",79,50,0,4
"Belly","Lil Baby & Gunna",80,80,0,1
"My Blood","twenty one pilots",81,81,0,1
"The Way I Am","Charlie Puth",84,61,77,7
"Can't Be Broken","Lil Wayne",91,17,17,2
"Maybe It's Time","Bradley Cooper",93,93,0,1
"Nico And The Niners","twenty one pilots",95,79,0,2
"Deep End","Lil Baby",97,97,0,1
"I Am","Lil Baby & Gunna",98,98,0,1
"What About Me","Lil Wayne Featuring Sosamann",24,24,0,1
"Dark Side Of The Moon","Lil Wayne Featuring Nicki Minaj",26,26,0,1
"Famous","Lil Wayne Featuring Reginae Carter",36,36,0,1
"Dope N****z","Lil Wayne Featuring Snoop Dogg",39,39,0,1
"Open Letter","Lil Wayne",47,47,0,1
"Problems","Lil Wayne",57,57,0,1
"Hittas","Lil Wayne",59,59,0,1
"Open Safe","Lil Wayne",62,62,0,1
"Took His Time","Lil Wayne",65,65,0,1
"Mess","Lil Wayne",74,74,0,1
"Let It All Work Out","Lil Wayne",75,75,0,1
"Start This S**t Off Right","Lil Wayne Featuring Ashanti & Mack Maine",76,76,0,1
"Used 2","Lil Wayne",78,78,0,1
"Rap Devil","Machine Gun Kelly",79,13,40,4
"Demon","Lil Wayne",81,81,0,1
"Perfect Strangers","Lil Wayne",86,86,0,1
"Dope New Gospel","Lil Wayne Featuring Nivea",90,90,0,1
"Head Above Water","Avril Lavigne",93,64,64,2
"Perfect","Ed Sheeran",21,1,23,57
"Nice For What","Drake",39,1,37,25
"God's Plan","Drake",45,1,40,36
"Barbie Dreams","Nicki Minaj",70,18,57,7
"All Girls Are The Same","Juice WRLD",72,41,79,20
"Fall","Eminem",73,12,46,4
"Life Changes","Thomas Rhett",78,36,71,14
"Hooked","Dylan Scott",79,48,58,11
"Yosemite","Travis Scott",84,25,85,8
"Stargazing","Travis Scott",87,8,80,8
"BEBE","6ix9ine Featuring Anuel AA",88,30,86,4
"Lean Wit Me","Juice WRLD",89,68,93,8
"Self Care","Mac Miller",90,33,66,3
"OTW","Khalid, Ty Dolla $ign & 6LACK",91,57,95,18
"Remind Me To Forget","Kygo Featuring Miguel",93,63,75,11
"The Ringer","Eminem",95,8,59,4
"Apes**t","The Carters",97,13,83,15
"Hopeless Romantic","Wiz Khalifa Featuring Swae Lee",98,72,98,7
"Solo","Clean Bandit Featuring Demi Lovato",99,58,91,13
"Vaina Loca","Ozuna x Manuel Turizo",100,94,0,2
"Pretty Little Fears","6LACK Featuring J. Cole",76,76,0,1
"Mercy","Brett Young",78,29,65,20
"Side Effects","The Chainsmokers Featuring Emily Warren",88,66,76,6
"Cry Pretty","Carrie Underwood",90,48,0,12
"Not Alike","Eminem Featuring Royce Da 5'9",94,24,64,3
"Kamikaze","Eminem",99,16,77,3
"Mine","Bazzi",46,11,43,34
"Te Bote","Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",50,36,52,21
"Hurt Feelings","Mac Miller",70,70,0,1
"Greatest","Eminem",84,23,23,2
"Come Back To Earth","Mac Miller",91,91,0,1
"IDOL","BTS Featuring Nicki Minaj",92,11,81,3
"Feels Like Summer","Childish Gambino",93,54,54,2
"I'm Upset","Drake",97,7,95,16
"Narcos","Migos",100,36,98,15
"Normal","Eminem",39,39,0,1
"Stepping Stone","Eminem",42,42,0,1
"Nice Guy","Eminem & Jessie Reyez",65,65,0,1
"Good Guy","Eminem Featuring Jessie Reyez",67,67,0,1
"I Am Who They Say I Am","YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo",87,69,69,2
"1942","G-Eazy Featuring Yo Gotti & YBN Nahmir",96,70,79,8
"Summertime Magic","Childish Gambino",100,44,0,5
"Friends","Marshmello & Anne-Marie",41,11,37,29
"Never Be The Same","Camila Cabello",42,6,41,37
"One Kiss","Calvin Harris & Dua Lipa",43,26,39,21
"Moonlight","XXXTENTACION",47,13,48,20
"Get Along","Kenny Chesney",48,22,44,21
"Unica","Ozuna",72,72,0,1
"Changes","XXXTENTACION",78,18,79,20
"Happy Now","Zedd & Elley Duhe",90,90,0,1
"Level Up","Ciara",91,59,69,6
"Taking A Walk","Trippie Redd",92,46,80,3
"Don't Go Breaking My Heart","Backstreet Boys",94,63,76,10
"Mob Ties","Drake",95,13,0,8
"Wasted","Juice WRLD Featuring Lil Uzi Vert",97,67,0,6
"Sin Pijama","Becky G + Natti Natasha",99,70,98,12
"This Is America","Childish Gambino",100,1,95,17
"In My Blood","Shawn Mendes",42,11,38,23
"Sweetener","Ariana Grande",55,55,0,1
"Everytime","Ariana Grande",62,62,0,1
"R.E.M","Ariana Grande",72,72,0,1
"Kiss Somebody","Morgan Evans",86,53,53,8
"Goodnight N Go","Ariana Grande",87,87,0,1
"Made For Now","Janet & Daddy Yankee",88,88,0,1
"The Light Is Coming","Ariana Grande Featuring Nicki Minaj",89,89,0,2
"Bed","Nicki Minaj Featuring Ariana Grande",91,42,42,10
"Growing Pains","Alessia Cara",92,65,83,8
"Take Back Home Girl","Chris Lane Featuring Tori Kelly",93,55,61,12
"Pete Davidson","Ariana Grande",99,99,0,1
"Chun-Li","Nicki Minaj",100,10,44,16
"Rich Sex","Nicki Minaj Featuring Lil Wayne",56,56,0,2
"Majesty","Nicki Minaj Featuring Eminem & Labrinth",58,58,0,1
"Ganja Burns","Nicki Minaj",60,60,0,1
"Be Careful","Cardi B",64,11,61,20
"Stop Trying To Be God","Travis Scott",66,27,27,2
"Can't Say","Travis Scott",69,38,38,2
"Wake Up","Travis Scott",71,30,30,2
"R.I.P Screw","Travis Scott",75,26,26,2
"No Bystanders","Travis Scott",79,31,31,2
"Carousel","Travis Scott",81,24,24,2
"Album Of The Year (Freestyle)","J. Cole",87,87,0,1
"5% Tint","Travis Scott",89,36,36,2
"Have It All","Jason Mraz",90,90,0,1
"Nevermind","Dennis Lloyd",97,86,99,4
"Thought I Knew You","Nicki Minaj Featuring The Weeknd",98,98,0,1
"NC-17","Travis Scott",41,41,0,1
"Who? What!","Travis Scott",43,43,0,1
"Skeletons","Travis Scott",47,47,0,1
"Astrothunder","Travis Scott",48,48,0,1
"Butterfly Effect","Travis Scott",50,50,0,23
"Houstonfornication","Travis Scott",53,53,0,1
"Coffee Bean","Travis Scott",68,68,0,1
"Could've Been","H.E.R. Featuring Bryson Tiller",76,76,0,1
"Up Down","Morgan Wallen Featuring Florida Georgia Line",88,49,73,20
"I Was Jack (You Were Diane)","Jake Owen",91,43,62,11
"Coming Home","Keith Urban Featuring Julia Michaels",96,50,51,7
"Handgun","YG Featuring A$AP Rocky",98,98,99,2
"Whatever It Takes","Imagine Dragons",37,12,34,27
"Look Alive","BlocBoy JB Featuring Drake",40,5,40,25
"Sober","Demi Lovato",47,47,56,3
"Sit Next To Me","Foster The People",48,42,44,20
"One Number Away","Luke Combs",49,34,48,20
"Don't Matter To Me","Drake Featuring Michael Jackson",66,9,54,5
"Ocean","TK Kravitz Featuring Jacqueez",76,76,78,3
"One Day","Logic Featuring Ryan Tedder",80,80,0,1
"Freaky Friday","Lil Dicky Featuring Chris Brown",83,8,73,20
"Praise The Lord (Da Shine)","A$AP Rocky Featuring Skepta",84,45,96,8
"Ball For Me","Post Malone Featuring Nicki Minaj",89,16,83,14
"Call Out My Name","The Weeknd",95,4,89,18
"All Mine","Kanye West",96,11,91,9
"Ocean","Martin Garrix Featuring Khalid",97,78,85,5
"Karma","Queen Naija",98,63,0,2
"X","Nicky Jam x J Balvin",47,41,47,21
"I Might Need Security","Chance The Rapper",60,60,0,1
"You Should See Me In A Crown","Billie Eilish",93,93,0,1
"Emotionless","Drake",99,8,58,4
"Can't Take A Joke","Drake",100,18,61,4
"Elevate","Drake",67,14,44,3
"Fr Fr","Wiz Khalifa Featuring Lil Skies",73,73,0,1
"Blue Tint","Drake",80,30,55,3
"After Dark","Drake Featuring Static Major & Ty Dolla $ign",82,41,56,3
"Alone","Halsey Featuring Big Sean & Stefflon Don",86,66,66,14
"Everything's Gonna Be Alright","David Lee Murphy & Kenny Chesney",89,66,80,13
"Zombie","Bad Wolves",97,54,0,18
"8 Out Of 10","Drake",98,21,59,3
"31 Days","Future",99,65,65,2
"Talk Up","Drake Featuring JAY-Z",100,20,58,3
"Wifi Lit","Future",53,53,0,1
"Jocelyn Flores","XXXTENTACION",62,19,68,20
"Sandra's Rose","Drake",63,27,27,2
"Summer Games","Drake",64,28,28,2
"Jaded","Drake",67,32,32,2
"That's How You Feel","Drake",68,37,37,2
"Survival","Drake",69,17,17,2
"Cuddle My Wrist","Future",71,71,0,1
"Millidelphia","Meek Mill Featuring Swizz Beatz",73,73,0,1
"Racks Blue","Future",76,76,0,1
"Finesse","Drake",78,42,42,2
"Drug Addicts","Lil Pump",83,83,0,1
"KOD","J. Cole",84,10,77,12
"Peak","Drake",93,38,38,2
"Legends","Juice WRLD",94,65,0,2
"Kream","Iggy Azalea Feauring Tyga",96,96,0,1
"Is There More","Drake",100,36,36,2
"Ratchet Happy Birthday","Drake",51,51,0,1
